year,births
1940,2559000.0
1941,2618800.0
1942,2678600.0
1943,2738400.0
1944,2798200.0
1945,2858000.0
1946,3012800.0
1947,3167600.0
1948,3322400.0
1949,3477200.0
1950,3632000.0
1951,3727428.5714285714
1952,3822857.1428571427
1953,3918285.7142857146
1954,4013714.285714286
1955,4109142.8571428573
1956,4204571.428571429
1957,4300000.0
1958,4232500.0
1959,4165000.0
1960,4097500.0
1961,4030000.0
1962,3962500.0
1963,3895000.0
1964,3827500.0
1965,3760000.0
1966,3698400.0
1967,3636800.0
1968,3575200.0
1969,3513600.0
1970,3452000.0
1971,3390400.0
1972,3328800.0
1973,3267200.0
1974,3205600.0
1975,3144000.0
1976,3237600.0
1977,3331200.0
1978,3424800.0
1979,3518400.0
1980,3612000.0
1981,3666600.0
1982,3721200.0
1983,3775800.0
1984,3830400.0
1985,3885000.0
1986,3939600.0
1987,3994200.0
1988,4048800.0
1989,4103400.0
1990,4158000.0
1991,4167294.117647059
1992,4176588.2352941176
1993,4185882.3529411764
1994,4195176.470588235
1995,4204470.588235294
1996,4213764.705882353
1997,4223058.823529412
1998,4232352.94117647
1999,4241647.05882353
2000,4250941.176470588
2001,4260235.294117647
2002,4269529.411764706
2003,4278823.529411765
2004,4288117.647058823
2005,4297411.764705882
2006,4306705.882352941
2007,4316000.0
2008,4261923.076923077
2009,4207846.153846154
2010,4153769.230769231
2011,4099692.3076923075
2012,4045615.3846153845
2013,3991538.4615384615
2014,3937461.5384615385
2015,3883384.6153846155
2016,3829307.6923076925
2017,3775230.769230769
2018,3721153.846153846
2019,3667076.923076923
2020,3613000.0
2021,3607333.3333333335
2022,3601666.6666666665
2023,3596000.0
