year,deaths
1940,1417000.0
1941,1420500.0
1942,1424000.0
1943,1427500.0
1944,1431000.0
1945,1434500.0
1946,1438000.0
1947,1441500.0
1948,1445000.0
1949,1448500.0
1950,1452000.0
1951,1477900.0
1952,1503800.0
1953,1529700.0
1954,1555600.0
1955,1581500.0
1956,1607400.0
1957,1633300.0
1958,1659200.0
1959,1685100.0
1960,1711000.0
1961,1732000.0
1962,1753000.0
1963,1774000.0
1964,1795000.0
1965,1816000.0
1966,1837000.0
1967,1858000.0
1968,1879000.0
1969,1900000.0
1970,1921000.0
1971,1927800.0
1972,1934600.0
1973,1941400.0
1974,1948200.0
1975,1955000.0
1976,1961800.0
1977,1968600.0
1978,1975400.0
1979,1982200.0
1980,1989000.0
1981,2004900.0
1982,2020800.0
1983,2036700.0
1984,2052600.0
1985,2068500.0
1986,2084400.0
1987,2100300.0
1988,2116200.0
1989,2132100.0
1990,2148000.0
1991,2173500.0
1992,2199000.0
1993,2224500.0
1994,2250000.0
1995,2275500.0
1996,2301000.0
1997,2326500.0
1998,2352000.0
1999,2377500.0
2000,2403000.0
2001,2409500.0
2002,2416000.0
2003,2422500.0
2004,2429000.0
2005,2435500.0
2006,2442000.0
2007,2448500.0
2008,2455000.0
2009,2461500.0
2010,2468000.0
2011,2510888.888888889
2012,2553777.777777778
2013,2596666.6666666665
2014,2639555.5555555555
2015,2682444.4444444445
2016,2725333.3333333335
2017,2768222.222222222
2018,2811111.111111111
2019,2854000.0
2020,3383000.0
2021,3285333.3333333335
2022,3187666.6666666665
2023,3090000.0
