DATE,VALUE
1940-01-01,37325470.0
1941-01-01,38206623.0
1942-01-01,39087776.0
1943-01-01,39968929.0
1944-01-01,40850082.0
1945-01-01,41731235.0
1946-01-01,42612388.0
1947-01-01,43493541.0
1948-01-01,44374694.0
1949-01-01,45255847.0
1950-01-01,46137000.0
1951-01-01,47355900.0
1952-01-01,48574800.0
1953-01-01,49793700.0
1954-01-01,51012600.0
1955-01-01,52231500.0
1956-01-01,53450400.0
1957-01-01,54669300.0
1958-01-01,55888200.0
1959-01-01,57107100.0
1960-01-01,58326000.0
1961-01-01,59361303.0
1962-01-01,60396606.0
1963-01-01,61431909.0
1964-01-01,62467212.0
1965-01-01,63502515.0
1966-01-01,64537818.0
1967-01-01,65573121.0
1968-01-01,66608424.0
1969-01-01,67643727.0
1970-01-01,68679030.0
1971-01-01,70652189.7
1972-01-01,72625349.4
1973-01-01,74598509.1
1974-01-01,76571668.8
1975-01-01,78544828.5
1976-01-01,80517988.2
1977-01-01,82491147.9
1978-01-01,84464307.6
1979-01-01,86437467.3
1980-01-01,88410627.0
1981-01-01,89795932.1
1982-01-01,91181237.2
1983-01-01,92566542.3
1984-01-01,93951847.4
1985-01-01,95337152.5
1986-01-01,96722457.6
1987-01-01,98107762.7
1988-01-01,99493067.8
1989-01-01,100878372.9
1990-01-01,102263678.0
1991-01-01,103997310.2
1992-01-01,105730942.4
1993-01-01,107464574.6
1994-01-01,109198206.8
1995-01-01,110931839.0
1996-01-01,112665471.2
1997-01-01,114399103.4
1998-01-01,116132735.6
1999-01-01,117866367.8
2000-01-01,119600000.0
2001-01-01,120820000.0
2002-01-01,122040000.0
2003-01-01,123260000.0
2004-01-01,124480000.0
2005-01-01,125700000.0
2006-01-01,126920000.0
2007-01-01,128140000.0
2008-01-01,129360000.0
2009-01-01,130580000.0
2010-01-01,131800000.0
2011-01-01,132700000.0
2012-01-01,133600000.0
2013-01-01,134500000.0
2014-01-01,135400000.0
2015-01-01,136300000.0
2016-01-01,137200000.0
2017-01-01,138100000.0
2018-01-01,139000000.0
2019-01-01,139900000.0
2020-01-01,140800000.0
2021-01-01,142533333.33333334
2022-01-01,144266666.66666666
2023-01-01,146000000.0
